name,Type
Albert Park Grand Prix Circuit,Street
Sepang International Circuit,Permanent
Shanghai International Circuit,Permanent
Istanbul Park,Permanent
Circuit de Barcelona-Catalunya,Permanent
Circuit de Monaco,Street
Circuit Gilles Villeneuve,Street
Valencia Street Circuit,Street
Silverstone Circuit,Permanent
Nürburgring,Permanent
Hungaroring,Permanent
Circuit de Spa-Francorchamps,Permanent
Autodromo Nazionale di Monza,Permanent
Marina Bay Street Circuit,Street
Suzuka Circuit,Permanent
Korean International Circuit,Permanent
Buddh International Circuit,Permanent
Yas Marina Circuit,Permanent
Autódromo José Carlos Pace,Permanent
Bahrain International Circuit,Permanent
Hockenheimring,Permanent
Circuit of the Americas,Permanent
Red Bull Ring,Permanent
Sochi Autodrom,Street
Autódromo Hermanos Rodríguez,Street
Baku City Circuit,Street
Circuit Paul Ricard,Permanent
Autodromo Internazionale del Mugello,Permanent
Autódromo Internacional do Algarve,Permanent
Autodromo Enzo e Dino Ferrari,Permanent
Circuit Park Zandvoort,Permanent
Losail International Circuit,Permanent
Jeddah Corniche Circuit,Street
Miami International Autodrome,Street
Las Vegas Strip Street Circuit,Street
