stop,circuitRef
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
2,albert_park
1,albert_park
2,albert_park
1,albert_park
2,albert_park
1,albert_park
2,albert_park
2,albert_park
2,albert_park
3,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
3,albert_park
2,albert_park
2,albert_park
3,albert_park
2,albert_park
2,albert_park
2,albert_park
3,albert_park
4,albert_park
3,albert_park
3,albert_park
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
2,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
3,sepang
2,sepang
3,sepang
3,sepang
2,sepang
2,sepang
2,sepang
2,sepang
3,sepang
3,sepang
3,sepang
3,sepang
3,sepang
2,sepang
3,sepang
3,sepang
3,sepang
3,sepang
4,sepang
3,sepang
4,sepang
3,sepang
4,sepang
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
2,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
1,shanghai
2,shanghai
1,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
2,shanghai
3,shanghai
2,shanghai
2,shanghai
2,shanghai
3,shanghai
2,shanghai
3,shanghai
3,shanghai
3,shanghai
3,shanghai
3,shanghai
2,shanghai
3,shanghai
2,shanghai
3,shanghai
3,shanghai
3,shanghai
4,shanghai
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
1,istanbul
2,istanbul
1,istanbul
1,istanbul
1,istanbul
2,istanbul
1,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
2,istanbul
3,istanbul
2,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
2,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
3,istanbul
4,istanbul
3,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
4,istanbul
3,istanbul
3,istanbul
4,istanbul
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
1,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
1,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
3,catalunya
3,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
2,catalunya
3,catalunya
3,catalunya
2,catalunya
3,catalunya
3,catalunya
3,catalunya
2,catalunya
3,catalunya
4,catalunya
2,catalunya
3,catalunya
3,catalunya
3,catalunya
3,catalunya
3,catalunya
3,catalunya
3,catalunya
4,catalunya
4,catalunya
3,catalunya
3,catalunya
4,catalunya
3,catalunya
3,catalunya
3,catalunya
4,catalunya
3,catalunya
3,catalunya
4,catalunya
3,catalunya
4,catalunya
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
1,monaco
2,monaco
1,monaco
1,monaco
1,monaco
2,monaco
3,monaco
1,monaco
1,monaco
2,monaco
2,monaco
1,monaco
1,monaco
1,monaco
1,monaco
2,monaco
2,monaco
2,monaco
3,monaco
3,monaco
2,monaco
3,monaco
2,monaco
2,monaco
2,monaco
2,monaco
2,monaco
2,monaco
2,monaco
2,monaco
1,villeneuve
1,villeneuve
2,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
1,villeneuve
2,villeneuve
3,villeneuve
2,villeneuve
1,villeneuve
2,villeneuve
1,villeneuve
1,villeneuve
2,villeneuve
1,villeneuve
1,villeneuve
2,villeneuve
1,villeneuve
2,villeneuve
2,villeneuve
3,villeneuve
3,villeneuve
2,villeneuve
1,villeneuve
3,villeneuve
3,villeneuve
1,villeneuve
1,villeneuve
4,villeneuve
1,villeneuve
2,villeneuve
3,villeneuve
2,villeneuve
1,villeneuve
2,villeneuve
1,villeneuve
2,villeneuve
3,villeneuve
3,villeneuve
2,villeneuve
4,villeneuve
2,villeneuve
1,villeneuve
5,villeneuve
2,villeneuve
3,villeneuve
4,villeneuve
3,villeneuve
4,villeneuve
4,villeneuve
3,villeneuve
6,villeneuve
3,villeneuve
4,villeneuve
2,villeneuve
2,villeneuve
4,villeneuve
3,villeneuve
2,villeneuve
2,villeneuve
3,villeneuve
5,villeneuve
3,villeneuve
3,villeneuve
2,villeneuve
2,villeneuve
4,villeneuve
4,villeneuve
4,villeneuve
5,villeneuve
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
2,valencia
1,valencia
1,valencia
1,valencia
1,valencia
1,valencia
2,valencia
1,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
2,valencia
3,valencia
2,valencia
2,valencia
2,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
2,valencia
3,valencia
3,valencia
2,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
3,valencia
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
1,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
3,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
2,silverstone
3,silverstone
2,silverstone
2,silverstone
2,silverstone
3,silverstone
3,silverstone
3,silverstone
3,silverstone
2,silverstone
3,silverstone
3,silverstone
3,silverstone
3,silverstone
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
1,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
3,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
2,nurburgring
3,nurburgring
3,nurburgring
3,nurburgring
3,nurburgring
3,nurburgring
3,nurburgring
3,nurburgring
1,hungaroring
1,hungaroring
