"","stop","Type"
"1",1,"Street"
"2",1,"Street"
"3",1,"Street"
"4",1,"Street"
"5",1,"Street"
"6",1,"Street"
"7",1,"Street"
"8",1,"Street"
"9",1,"Street"
"10",1,"Street"
"11",1,"Street"
"12",1,"Street"
"13",1,"Street"
"14",1,"Street"
"15",1,"Street"
"16",1,"Street"
"17",1,"Street"
"18",1,"Street"
"19",2,"Street"
"20",1,"Street"
"21",2,"Street"
"22",1,"Street"
"23",2,"Street"
"24",1,"Street"
"25",2,"Street"
"26",2,"Street"
"27",2,"Street"
"28",3,"Street"
"29",2,"Street"
"30",2,"Street"
"31",2,"Street"
"32",2,"Street"
"33",2,"Street"
"34",2,"Street"
"35",3,"Street"
"36",2,"Street"
"37",2,"Street"
"38",3,"Street"
"39",2,"Street"
"40",2,"Street"
"41",2,"Street"
"42",3,"Street"
"43",4,"Street"
"44",3,"Street"
"45",3,"Street"
"46",1,"Permanent"
"47",1,"Permanent"
"48",1,"Permanent"
"49",1,"Permanent"
"50",1,"Permanent"
"51",1,"Permanent"
"52",1,"Permanent"
"53",1,"Permanent"
"54",1,"Permanent"
"55",1,"Permanent"
"56",1,"Permanent"
"57",1,"Permanent"
"58",1,"Permanent"
"59",1,"Permanent"
"60",1,"Permanent"
"61",1,"Permanent"
"62",1,"Permanent"
"63",2,"Permanent"
"64",1,"Permanent"
"65",1,"Permanent"
"66",1,"Permanent"
"67",1,"Permanent"
"68",1,"Permanent"
"69",2,"Permanent"
"70",2,"Permanent"
"71",2,"Permanent"
"72",2,"Permanent"
"73",2,"Permanent"
"74",2,"Permanent"
"75",2,"Permanent"
"76",2,"Permanent"
"77",2,"Permanent"
"78",2,"Permanent"
"79",2,"Permanent"
"80",2,"Permanent"
"81",2,"Permanent"
"82",3,"Permanent"
"83",2,"Permanent"
"84",3,"Permanent"
"85",3,"Permanent"
"86",2,"Permanent"
"87",2,"Permanent"
"88",2,"Permanent"
"89",2,"Permanent"
"90",3,"Permanent"
"91",3,"Permanent"
"92",3,"Permanent"
"93",3,"Permanent"
"94",3,"Permanent"
"95",2,"Permanent"
"96",3,"Permanent"
"97",3,"Permanent"
"98",3,"Permanent"
"99",3,"Permanent"
"100",4,"Permanent"
"101",3,"Permanent"
"102",4,"Permanent"
"103",3,"Permanent"
"104",4,"Permanent"
"105",1,"Permanent"
"106",1,"Permanent"
"107",1,"Permanent"
"108",1,"Permanent"
"109",1,"Permanent"
"110",1,"Permanent"
"111",1,"Permanent"
"112",1,"Permanent"
"113",1,"Permanent"
"114",1,"Permanent"
"115",1,"Permanent"
"116",1,"Permanent"
"117",1,"Permanent"
"118",1,"Permanent"
"119",1,"Permanent"
"120",1,"Permanent"
"121",1,"Permanent"
"122",2,"Permanent"
"123",1,"Permanent"
"124",1,"Permanent"
"125",1,"Permanent"
"126",1,"Permanent"
"127",1,"Permanent"
"128",1,"Permanent"
"129",2,"Permanent"
"130",1,"Permanent"
"131",2,"Permanent"
"132",2,"Permanent"
"133",2,"Permanent"
"134",2,"Permanent"
"135",2,"Permanent"
"136",2,"Permanent"
"137",2,"Permanent"
"138",2,"Permanent"
"139",2,"Permanent"
"140",2,"Permanent"
"141",2,"Permanent"
"142",2,"Permanent"
"143",2,"Permanent"
"144",2,"Permanent"
"145",3,"Permanent"
"146",2,"Permanent"
"147",2,"Permanent"
"148",2,"Permanent"
"149",3,"Permanent"
"150",2,"Permanent"
"151",3,"Permanent"
"152",3,"Permanent"
"153",3,"Permanent"
"154",3,"Permanent"
"155",3,"Permanent"
"156",2,"Permanent"
"157",3,"Permanent"
"158",2,"Permanent"
"159",3,"Permanent"
"160",3,"Permanent"
"161",3,"Permanent"
"162",4,"Permanent"
"163",1,"Permanent"
"164",1,"Permanent"
"165",1,"Permanent"
"166",1,"Permanent"
"167",1,"Permanent"
"168",1,"Permanent"
"169",1,"Permanent"
"170",1,"Permanent"
"171",1,"Permanent"
"172",1,"Permanent"
"173",1,"Permanent"
"174",1,"Permanent"
"175",1,"Permanent"
"176",1,"Permanent"
"177",1,"Permanent"
"178",1,"Permanent"
"179",1,"Permanent"
"180",1,"Permanent"
"181",1,"Permanent"
